Notes	County	County Code	Deaths	Population	Crude Rate	State_Code	State	Year	Sex	Age	Race_Code	Race
	Autauga County, AL	01001	Suppressed	279311	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Baldwin County, AL	01003	44	903205	4.9	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Barbour County, AL	01005	Suppressed	171462	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Bibb County, AL	01007	Suppressed	128215	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Blount County, AL	01009	Suppressed	317625	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Bullock County, AL	01011	Suppressed	67711	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Butler County, AL	01013	Suppressed	125874	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Calhoun County, AL	01015	Suppressed	675784	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Chambers County, AL	01017	Suppressed	215244	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Cherokee County, AL	01019	Suppressed	147082	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Chilton County, AL	01021	Suppressed	245032	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Choctaw County, AL	01023	Suppressed	91640	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Clarke County, AL	01025	Suppressed	163570	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Clay County, AL	01027	Suppressed	85210	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Cleburne County, AL	01029	Suppressed	85906	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Coffee County, AL	01031	Suppressed	266233	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Colbert County, AL	01033	Suppressed	327331	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Conecuh County, AL	01035	Suppressed	82258	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Coosa County, AL	01037	Suppressed	70549	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Covington County, AL	01039	Suppressed	222471	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Crenshaw County, AL	01041	Suppressed	82102	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Cullman County, AL	01043	Suppressed	466821	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Dale County, AL	01045	Suppressed	295266	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Dallas County, AL	01047	Suppressed	272273	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	DeKalb County, AL	01049	Suppressed	397575	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Elmore County, AL	01051	Suppressed	415923	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Escambia County, AL	01053	Suppressed	227782	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Etowah County, AL	01055	Suppressed	618702	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Fayette County, AL	01057	Suppressed	109387	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Franklin County, AL	01059	Suppressed	185914	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
	Geneva County, AL	01061	Suppressed	154371	Suppressed	01	Alabama	2000,2001,2002,2003,2004,2005	*All*	*All*	*All*	All
