GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0100000US,,United States,0100000US,,United States,United States,57652,138
0100000US,,United States,0400000US01,01,United States - Alabama,Alabama,46472,301
0100000US,,United States,0500000US01001,01001,United States - Alabama - Autauga County,Autauga County,55317,2838
0100000US,,United States,0500000US01003,01003,United States - Alabama - Baldwin County,Baldwin County,52562,1348
0100000US,,United States,0500000US01005,01005,United States - Alabama - Barbour County,Barbour County,33368,2551
0100000US,,United States,0500000US01007,01007,United States - Alabama - Bibb County,Bibb County,43404,3431
0100000US,,United States,0500000US01009,01009,United States - Alabama - Blount County,Blount County,47412,2630
0100000US,,United States,0500000US01011,01011,United States - Alabama - Bullock County,Bullock County,29655,5376
0100000US,,United States,0500000US01013,01013,United States - Alabama - Butler County,Butler County,36326,2701
0100000US,,United States,0500000US01015,01015,United States - Alabama - Calhoun County,Calhoun County,43686,1491
0100000US,,United States,0500000US01017,01017,United States - Alabama - Chambers County,Chambers County,37342,2011
0100000US,,United States,0500000US01019,01019,United States - Alabama - Cherokee County,Cherokee County,40041,2316
0100000US,,United States,0500000US01021,01021,United States - Alabama - Chilton County,Chilton County,43501,2877
0100000US,,United States,0500000US01023,01023,United States - Alabama - Choctaw County,Choctaw County,32122,2797
0100000US,,United States,0500000US01025,01025,United States - Alabama - Clarke County,Clarke County,33827,2336
0100000US,,United States,0500000US01027,01027,United States - Alabama - Clay County,Clay County,37287,6507
0100000US,,United States,0500000US01029,01029,United States - Alabama - Cleburne County,Cleburne County,37396,5390
0100000US,,United States,0500000US01031,01031,United States - Alabama - Coffee County,Coffee County,49821,1945
0100000US,,United States,0500000US01033,01033,United States - Alabama - Colbert County,Colbert County,45477,1959
0100000US,,United States,0500000US01035,01035,United States - Alabama - Conecuh County,Conecuh County,30434,3446
0100000US,,United States,0500000US01037,01037,United States - Alabama - Coosa County,Coosa County,34792,3587
0100000US,,United States,0500000US01039,01039,United States - Alabama - Covington County,Covington County,39467,2392
0100000US,,United States,0500000US01041,01041,United States - Alabama - Crenshaw County,Crenshaw County,38937,3177
0100000US,,United States,0500000US01043,01043,United States - Alabama - Cullman County,Cullman County,40997,1715
0100000US,,United States,0500000US01045,01045,United States - Alabama - Dale County,Dale County,44711,2010
0100000US,,United States,0500000US01047,01047,United States - Alabama - Dallas County,Dallas County,30065,1775
0100000US,,United States,0500000US01049,01049,United States - Alabama - DeKalb County,DeKalb County,38842,2154
0100000US,,United States,0500000US01051,01051,United States - Alabama - Elmore County,Elmore County,54981,2614
0100000US,,United States,0500000US01053,01053,United States - Alabama - Escambia County,Escambia County,35026,2265
0100000US,,United States,0500000US01055,01055,United States - Alabama - Etowah County,Etowah County,42064,1487
0100000US,,United States,0500000US01057,01057,United States - Alabama - Fayette County,Fayette County,36541,2175
0100000US,,United States,0500000US01059,01059,United States - Alabama - Franklin County,Franklin County,39501,2912
0100000US,,United States,0500000US01061,01061,United States - Alabama - Geneva County,Geneva County,39293,2810
0100000US,,United States,0500000US01063,01063,United States - Alabama - Greene County,Greene County,20954,3315
0100000US,,United States,0500000US01065,01065,United States - Alabama - Hale County,Hale County,34679,2808
0100000US,,United States,0500000US01067,01067,United States - Alabama - Henry County,Henry County,45569,3006
0100000US,,United States,0500000US01069,01069,United States - Alabama - Houston County,Houston County,42803,919
0100000US,,United States,0500000US01071,01071,United States - Alabama - Jackson County,Jackson County,39281,1994
0100000US,,United States,0500000US01073,01073,United States - Alabama - Jefferson County,Jefferson County,49321,913
0100000US,,United States,0500000US01075,01075,United States - Alabama - Lamar County,Lamar County,36016,2778
0100000US,,United States,0500000US01077,01077,United States - Alabama - Lauderdale County,Lauderdale County,44888,1370
0100000US,,United States,0500000US01079,01079,United States - Alabama - Lawrence County,Lawrence County,43779,3181
0100000US,,United States,0500000US01081,01081,United States - Alabama - Lee County,Lee County,47564,1712
0100000US,,United States,0500000US01083,01083,United States - Alabama - Limestone County,Limestone County,52831,2263
0100000US,,United States,0500000US01085,01085,United States - Alabama - Lowndes County,Lowndes County,29785,4076
0100000US,,United States,0500000US01087,01087,United States - Alabama - Macon County,Macon County,32308,2946
0100000US,,United States,0500000US01089,01089,United States - Alabama - Madison County,Madison County,61318,1430
0100000US,,United States,0500000US01091,01091,United States - Alabama - Marengo County,Marengo County,32255,3045
0100000US,,United States,0500000US01093,01093,United States - Alabama - Marion County,Marion County,35719,2063
0100000US,,United States,0500000US01095,01095,United States - Alabama - Marshall County,Marshall County,41104,1311
0100000US,,United States,0500000US01097,01097,United States - Alabama - Mobile County,Mobile County,45802,1034
0100000US,,United States,0500000US01099,01099,United States - Alabama - Monroe County,Monroe County,26036,3726
0100000US,,United States,0500000US01101,01101,United States - Alabama - Montgomery County,Montgomery County,46545,1309
0100000US,,United States,0500000US01103,01103,United States - Alabama - Morgan County,Morgan County,47529,1678
0100000US,,United States,0500000US01105,01105,United States - Alabama - Perry County,Perry County,22973,3833
0100000US,,United States,0500000US01107,01107,United States - Alabama - Pickens County,Pickens County,36220,2410
0100000US,,United States,0500000US01109,01109,United States - Alabama - Pike County,Pike County,35684,2430
0100000US,,United States,0500000US01111,01111,United States - Alabama - Randolph County,Randolph County,39485,3413
0100000US,,United States,0500000US01113,01113,United States - Alabama - Russell County,Russell County,38988,2253
0100000US,,United States,0500000US01115,01115,United States - Alabama - St. Clair County,St. Clair County,53483,2225
0100000US,,United States,0500000US01117,01117,United States - Alabama - Shelby County,Shelby County,74063,1255
0100000US,,United States,0500000US01119,01119,United States - Alabama - Sumter County,Sumter County,21663,1677
0100000US,,United States,0500000US01121,01121,United States - Alabama - Talladega County,Talladega County,39219,2277
0100000US,,United States,0500000US01123,01123,United States - Alabama - Tallapoosa County,Tallapoosa County,42181,2590
0100000US,,United States,0500000US01125,01125,United States - Alabama - Tuscaloosa County,Tuscaloosa County,50513,1043
0100000US,,United States,0500000US01127,01127,United States - Alabama - Walker County,Walker County,38872,1774
0100000US,,United States,0500000US01129,01129,United States - Alabama - Washington County,Washington County,42185,3300
0100000US,,United States,0500000US01131,01131,United States - Alabama - Wilcox County,Wilcox County,27012,3249
0100000US,,United States,0500000US01133,01133,United States - Alabama - Winston County,Winston County,35362,2755
0100000US,,United States,0400000US02,02,United States - Alaska,Alaska,76114,979
0100000US,,United States,0500000US02013,02013,United States - Alaska - Aleutians East Borough,Aleutians East Borough,66607,2827
0100000US,,United States,0500000US02016,02016,United States - Alaska - Aleutians West Census Area,Aleutians West Census Area,85192,5274
0100000US,,United States,0500000US02020,02020,United States - Alaska - Anchorage Municipality,Anchorage Municipality,82271,1398
0100000US,,United States,0500000US02050,02050,United States - Alaska - Bethel Census Area,Bethel Census Area,53853,2386
0100000US,,United States,0500000US02060,02060,United States - Alaska - Bristol Bay Borough,Bristol Bay Borough,79500,10833
0100000US,,United States,0500000US02068,02068,United States - Alaska - Denali Borough,Denali Borough,83295,6362
0100000US,,United States,0500000US02070,02070,United States - Alaska - Dillingham Census Area,Dillingham Census Area,58708,5073
0100000US,,United States,0500000US02090,02090,United States - Alaska - Fairbanks North Star Borough,Fairbanks North Star Borough,76250,2761
0100000US,,United States,0500000US02100,02100,United States - Alaska - Haines Borough,Haines Borough,70640,21959
0100000US,,United States,0500000US02105,02105,United States - Alaska - Hoonah-Angoon Census Area,Hoonah-Angoon Census Area,57900,6783
0100000US,,United States,0500000US02110,02110,United States - Alaska - Juneau City and Borough,Juneau City and Borough,90749,3559
0100000US,,United States,0500000US02122,02122,United States - Alaska - Kenai Peninsula Borough,Kenai Peninsula Borough,65279,2335
0100000US,,United States,0500000US02130,02130,United States - Alaska - Ketchikan Gateway Borough,Ketchikan Gateway Borough,67321,2867
0100000US,,United States,0500000US02150,02150,United States - Alaska - Kodiak Island Borough,Kodiak Island Borough,74167,11354
0100000US,,United States,0500000US02158,02158,United States - Alaska - Kusilvak Census Area,Kusilvak Census Area,36468,2049
0100000US,,United States,0500000US02164,02164,United States - Alaska - Lake and Peninsula Borough,Lake and Peninsula Borough,45208,3882
0100000US,,United States,0500000US02170,02170,United States - Alaska - Matanuska-Susitna Borough,Matanuska-Susitna Borough,74887,1813
0100000US,,United States,0500000US02180,02180,United States - Alaska - Nome Census Area,Nome Census Area,53821,1734
0100000US,,United States,0500000US02185,02185,United States - Alaska - North Slope Borough,North Slope Borough,77266,11624
0100000US,,United States,0500000US02188,02188,United States - Alaska - Northwest Arctic Borough,Northwest Arctic Borough,61533,2830
0100000US,,United States,0500000US02195,02195,United States - Alaska - Petersburg Borough,Petersburg Borough,63490,2295
0100000US,,United States,0500000US02198,02198,United States - Alaska - Prince of Wales-Hyder Census Area,Prince of Wales-Hyder Census Area,52114,2833
0100000US,,United States,0500000US02220,02220,United States - Alaska - Sitka City and Borough,Sitka City and Borough,70765,6307
0100000US,,United States,0500000US02230,02230,United States - Alaska - Skagway Municipality,Skagway Municipality,70673,6701
0100000US,,United States,0500000US02240,02240,United States - Alaska - Southeast Fairbanks Census Area,Southeast Fairbanks Census Area,63866,6607
0100000US,,United States,0500000US02261,02261,United States - Alaska - Valdez-Cordova Census Area,Valdez-Cordova Census Area,86019,5533
0100000US,,United States,0500000US02275,02275,United States - Alaska - Wrangell City and Borough,Wrangell City and Borough,56094,5257
0100000US,,United States,0500000US02282,02282,United States - Alaska - Yakutat City and Borough,Yakutat City and Borough,64583,11434
0100000US,,United States,0500000US02290,02290,United States - Alaska - Yukon-Koyukuk Census Area,Yukon-Koyukuk Census Area,37819,2854
0100000US,,United States,0400000US04,04,United States - Arizona,Arizona,53510,259
0100000US,,United States,0500000US04001,04001,United States - Arizona - Apache County,Apache County,32360,1213
