year	fips	prescription_rate_per_100
2006	02013	
2006	02016	
2006	02020	71.5
2006	02050	
2006	02060	
2006	02068	
2006	02070	
2006	02090	54.7
2006	02100	
2006	02105	
2006	02110	95.3
2006	02122	89.1
2006	02130	144.4
2006	02150	69.4
2006	02164	
2006	02170	82.5
2006	02180	
2006	02185	
2006	02188	
2006	02195	107.4
2006	02198	
2006	02220	
2006	02230	
2006	02240	
2006	02261	46.5
2006	02270	
2006	02275	
2006	02282	
2006	02290	
2006	01001	134.8
2006	01003	127.8
2006	01005	78.1
2006	01007	114.3
2006	01009	40.3
2006	01011	34.6
2006	01013	105.4
2006	01015	165.7
2006	01017	120.4
2006	01019	123.8
2006	01021	109
2006	01023	60.2
2006	01025	120.6
2006	01027	114
2006	01029	12.6
2006	01031	118.6
2006	01033	196.8
2006	01035	142.1
2006	01037	25.2
2006	01039	202.1
2006	01041	93.7
2006	01043	140.6
2006	01045	64
2006	01047	77.9
2006	01049	50.6
2006	01051	83
2006	01053	116.7
2006	01055	126.2
2006	01057	78
2006	01059	160.3
2006	01061	30.2
2006	01063	32.4
2006	01065	59.3
2006	01067	41
2006	01069	157.6
2006	01071	108.9
2006	01073	119.4
2006	01075	53
2006	01077	132.7
2006	01079	45.9
2006	01081	70.6
2006	01083	60
2006	01085	9.1
2006	01087	46.6
2006	01089	115.3
2006	01091	114.1
2006	01093	216
2006	01095	182.3
2006	01097	127.7
2006	01099	134.3
2006	01101	97.5
2006	01103	151.8
2006	01105	
2006	01107	85.5
2006	01109	88.3
2006	01111	56.4
2006	01113	139.5
2006	01115	79.1
2006	01117	110.4
2006	01119	39
2006	01121	111.6
2006	01123	82.9
2006	01125	105.1
2006	01127	304.1
2006	01129	37.8
2006	01131	45.4
2006	01133	121.4
2006	05001	64.3
2006	05003	89.7
2006	05005	120.9
2006	05007	81.9
2006	05009	152.4
2006	05011	109
2006	05013	73.7
2006	05015	32.7
2006	05017	50.9
2006	05019	59.9
2006	05021	45.4
2006	05023	91.1
2006	05025	
2006	05027	89.9
2006	05029	36.8
2006	05031	166.1
2006	05033	118.8
2006	05035	103.2
2006	05037	71.5
2006	05039	78.4
2006	05041	143.1
2006	05043	63.1
2006	05045	96.9
2006	05047	13.8
2006	05049	43.6
2006	05051	177.4
2006	05053	22.4
2006	05055	153.9
2006	05057	92.2
2006	05059	85.2
2006	05061	118
2006	05063	171.7
2006	05065	64.4
2006	05067	133.8
2006	05069	82.8
2006	05071	26.4
2006	05073	
2006	05075	28.6
2006	05077	
2006	05079	32.9
2006	05081	82
2006	05083	43.4
2006	05085	67.5
2006	05087	60.7
2006	05089	47.9
2006	05091	54.2
2006	05093	106.2
2006	05095	50.7
2006	05097	60.1
