fips	population_2000	population_2010	population_2017	deaths_2000	deaths_2010	deaths_2017	md_per_100k_2000	md_per_100k_2010	md_per_100k_2017	deaths_age_adj_2000	deaths_age_adj_2010	deaths_age_adj_2017	county	state	label
01001	43900	54754	55443	0.0	1.0	1.0	0.0	0.304391764376423	0.30060903390268684	0.0	1.0	1.0	Autauga County	AL	Autauga County, AL
01003	141404	183111	212619	44	71	93	5.186086202181928	6.462382562125342	7.2900352273315185	5.2	7.2	7.8	Baldwin County	AL	Baldwin County, AL
01005	29043	27330	25158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Barbour County	AL	Barbour County, AL
01007	19934	22872	22555	0.0	10	0.0	0.0	7.286930162061327	0.0	0.0	Unreliable	0.0	Bibb County	AL	Bibb County, AL
01009	51209	57373	57827	1.0	20	56	0.32546362293086495	5.8099338248537356	16.140096033571403	1.0	6.2	17.9	Blount County	AL	Blount County, AL
01011	11615	10878	10176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bullock County	AL	Bullock County, AL
01013	21331	20942	19898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Butler County	AL	Butler County, AL
01015	111340	118477	114664	2.0	10	2.0	0.2993832704628465	1.4067427995869803	0.2907044349868601	2.0	Unreliable	2.0	Calhoun County	AL	Calhoun County, AL
01017	36580	34122	33758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Chambers County	AL	Chambers County, AL
01019	24054	25974	25815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cherokee County	AL	Cherokee County, AL
01021	39801	43653	44117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Chilton County	AL	Chilton County, AL
01023	15868	13849	12935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Choctaw County	AL	Choctaw County, AL
01025	27839	25765	24097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Clarke County	AL	Clarke County, AL
01027	14262	13897	13367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Clay County	AL	Clay County, AL
01029	14171	15004	14906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cleburne County	AL	Cleburne County, AL
01031	43546	50205	51777	0.0	1.0	1.0	0.0	0.33197224712014073	0.32189324732345764	0.0	1.0	1.0	Coffee County	AL	Coffee County, AL
01033	55023	54525	54509	1.0	1.0	1.0	0.3029036342378036	0.3056701818737582	0.3057599050921255	1.0	1.0	1.0	Colbert County	AL	Colbert County, AL
01035	14052	13234	12435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Conecuh County	AL	Conecuh County, AL
01037	11881	11782	10757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Coosa County	AL	Coosa County, AL
01039	37520	37812	37078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Covington County	AL	Covington County, AL
01041	13694	13874	13861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Crenshaw County	AL	Crenshaw County, AL
01043	77571	80454	82836	1.0	11	28	0.2148569267724622	2.278734846413271	5.633621452830493	1.0	Unreliable	6.3	Cullman County	AL	Cullman County, AL
01045	49116	50390	49254	1.0	1.0	1.0	0.33933273610771775	0.3307534563736191	0.3383819926638784	1.0	1.0	1.0	Dale County	AL	Dale County, AL
01047	46222	43860	39235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Dallas County	AL	Dallas County, AL
01049	64657	71159	71404	1.0	13	24	0.257770491465219	3.044824501000108	5.601927062909641	1.0	Unreliable	5.8	DeKalb County	AL	DeKalb County, AL
01051	66255	79577	81416	1.0	1.0	1.0	0.251553341886147	0.20944075130586307	0.20470996691886933	1.0	1.0	1.0	Elmore County	AL	Elmore County, AL
01053	38412	38344	36999	0.0	26	33	0.0	11.301203143473119	14.865266628827806	0.0	11.6	13.2	Escambia County	AL	Escambia County, AL
01055	103300	104455	102937	2.0	14	38	0.32268473701193934	2.2338167951111325	6.152630573392788	2.0	Unreliable	6.4	Etowah County	AL	Etowah County, AL
01057	18469	17227	16474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Fayette County	AL	Fayette County, AL
01059	31222	31745	31590	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Franklin County	AL	Franklin County, AL
01061	25798	26782	26410	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Geneva County	AL	Geneva County, AL
01063	9962	8995	8318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Greene County	AL	Greene County, AL
01065	18312	15745	14809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Hale County	AL	Hale County, AL
01067	16343	17298	17140	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Henry County	AL	Henry County, AL
01069	88929	101790	104373	1.0	18	13	0.18741542878775952	2.9472443265546713	2.0758880808893743	1.0	Unreliable	Unreliable	Houston County	AL	Houston County, AL
01071	54022	53183	51907	1.0	1.0	1.0	0.30851628348944254	0.31338334931588413	0.3210870723922913	1.0	1.0	1.0	Jackson County	AL	Jackson County, AL
01073	662019	658158	659546	127	265	720	3.1972899065837486	6.710648000429481	18.19433367801488	3.2	6.8	18.7	Jefferson County	AL	Jefferson County, AL
01075	15911	14494	13902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Lamar County	AL	Lamar County, AL
01077	87976	92736	92591	1.0	1.0	13	0.18944560637749688	0.17972164711295147	2.340040248692277	1.0	1.0	Unreliable	Lauderdale County	AL	Lauderdale County, AL
01079	34861	34344	33077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Lawrence County	AL	Lawrence County, AL
01081	115458	140806	161641	2.0	11	14	0.2887052723356834	1.3020278491920323	1.4435281477677901	2.0	Unreliable	Unreliable	Lee County	AL	Lee County, AL
01083	65938	83173	94076	1.0	16	16	0.2527626962702337	3.206168668518229	2.834587638363309	1.0	Unreliable	Unreliable	Limestone County	AL	Limestone County, AL
01085	13481	11289	10104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Lowndes County	AL	Lowndes County, AL
01087	24078	21505	18811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Macon County	AL	Macon County, AL
01089	277557	336093	361665	5.0	31	54	0.300238629662856	1.537272917515886	2.4884907303720296	5.0	1.6	2.6	Madison County	AL	Madison County, AL
01091	22555	20946	19366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Marengo County	AL	Marengo County, AL
01093	31160	30817	29771	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Marion County	AL	Marion County, AL
01095	82306	93124	95609	1.0	1.0	1.0	0.20249637531488185	0.17897283908194092	0.17432110645092685	1.0	1.0	1.0	Marshall County	AL	Marshall County, AL
01097	400060	413319	414515	80	125	112	3.332833408322085	5.04049737208629	4.503254807827622	3.4	5.3	4.5	Mobile County	AL	Mobile County, AL
01099	24266	23007	21302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Monroe County	AL	Monroe County, AL
01101	223337	229510	227079	4.0	12	16	0.2985025618982375	0.8714217245435928	1.1743343359212726	4.0	Unreliable	Unreliable	Montgomery County	AL	Montgomery County, AL
01103	111200	119604	118811	2.0	17	10	0.29976019184652275	2.368928575409964	1.4027881817901262	2.0	Unreliable	Unreliable	Morgan County	AL	Morgan County, AL
01105	11816	10567	9319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Perry County	AL	Perry County, AL
01107	20922	19749	20182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pickens County	AL	Pickens County, AL
01109	29728	32963	33435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pike County	AL	Pike County, AL
01111	22421	22937	22683	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Randolph County	AL	Randolph County, AL
01113	49697	53307	57028	1.0	1.0	1.0	0.33536564916728706	0.31265437309671645	0.29225409740244557	1.0	1.0	1.0	Russell County	AL	Russell County, AL
01115	65111	83566	87976	1.0	24	52	0.255973133059954	4.786635713089056	9.851171531629838	1.0	4.9	9.9	St. Clair County	AL	St. Clair County, AL
01117	144524	196095	213729	2.0	87	104	0.23064220014207557	7.394375175297688	8.109958561230966	2.0	7.6	8.7	Shelby County	AL	Shelby County, AL
01119	14747	13730	12780	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Sumter County	AL	Sumter County, AL
01121	80355	82100	80022	1.0	14	11	0.20741293841909858	2.8420625253755585	2.2910366315929784	1.0	Unreliable	Unreliable	Talladega County	AL	Talladega County, AL
01123	41700	41476	40613	0.0	0.0	10	0.0	0.0	4.10377629494661	0.0	0.0	Unreliable	Tallapoosa County	AL	Tallapoosa County, AL
01125	165066	194996	207709	12	50	42	1.2116365574982129	4.2735919369286215	3.370099514224227	Unreliable	4.9	3.8	Tuscaloosa County	AL	Tuscaloosa County, AL
01127	70679	66997	63935	1.0	55	42	0.2358079014511618	13.682204675831256	10.94861969187456	1.0	14.3	11.5	Walker County	AL	Walker County, AL
01129	18110	17627	16532	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Washington County	AL	Washington County, AL
01131	13005	11564	10712	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Wilcox County	AL	Wilcox County, AL
01133	24901	24412	23745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Winston County	AL	Winston County, AL
02013	2686	3166	3495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Aleutians East Borough	AK	Aleutians East Borough, AK
02016	5442	5560	5726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Aleutians West Census Area	AK	Aleutians West Census Area, AK
02020	260548	293310	294264	36	163	230	2.3028386324208974	9.26210039434955	13.026851172190053	2.1	9.0	12.5	Anchorage Municipality	AK	Anchorage Municipality, AK
02050	16089	17085	18079	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bethel Census Area	AK	Bethel Census Area, AK
02060	1232	1002	870	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bristol Bay Borough	AK	Bristol Bay Borough, AK
02068	1896	1835	2066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Denali Borough	AK	Denali Borough, AK
02070	4930	4850	4935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Dillingham Census Area	AK	Dillingham Census Area, AK
02090	82755	98260	99725	1.0	38	43	0.20139770003826554	6.4454847683017835	7.18642934737194	1.0	7.2	6.7	Fairbanks North Star Borough	AK	Fairbanks North Star Borough, AK
