fips	population_2000	population_2010	population_2017	tot_male_2000	tot_male_2010	tot_male_2017	tot_female_2000	tot_female_2010	tot_female_2017	wa_2000	wa_2010	wa_2017	ba_2000	ba_2010	ba_2017	ia_2000	ia_2010	ia_2017	aa_2000	aa_2010	aa_2017	h_2000	h_2010	h_2017	age_grp_4_2000	age_grp_4_2010	age_grp_4_2017	age_grp_5_2000	age_grp_5_2010	age_grp_5_2017	age_grp_6_2000	age_grp_6_2010	age_grp_6_2017	age_grp_7_2000	age_grp_7_2010	age_grp_7_2017	age_grp_8_2000	age_grp_8_2010	age_grp_8_2017	pct_hs_diploma_2000	pct_hs_diploma_2010	pct_hs_diploma_2017	pct_bachelors_2000	pct_bachelors_2010	pct_bachelors_2017	pov_pct_2000	pov_pct_2010	pov_pct_2017	median_hh_inc_2000	median_hh_inc_2010	median_hh_inc_2017	unemploy_rate_2000	unemploy_rate_2010	unemploy_rate_2017	deaths_2000	deaths_2010	deaths_2017	deaths_age_adj_2000	deaths_age_adj_2010	deaths_age_adj_2017	md_per_100k_2000	md_per_100k_2010	md_per_100k_2017
01001	43900	54754	55443	21333	26670	27017	22567	28084	28426	35584	43409	42568	7572	9743	10828	210	250	259	205	497	698	610	1308	1584	3262	4224	3824	2379	3152	3277	2693	3186	3664	3040	3370	3483	3995	4137	3582	33.8	85.0	33.6	18	21.8	25	10.9	10.3	13.7	42013	51463	55317	4	9.7	3.9	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.304391764376423	0.30060903390268684
01003	141404	183111	212619	69337	89618	103182	72067	93493	109437	124134	160470	185437	14663	17334	19263	834	1330	1662	551	1384	2390	2512	8064	9702	9488	11618	12748	7213	9562	10995	8056	10280	12347	8993	10802	11783	10736	11505	12794	29.6	87.5	27.8	23.1	26.6	30.7	10.1	11.9	11.8	40250	48918	52562	3.7	9.8	4.1	44	71	93	5.2	7.2	7.8	5.186086202181928	6.462382562125342	7.2900352273315185
01005	29043	27330	25158	14975	14504	13221	14068	12826	11937	15212	13896	12451	13495	12897	12100	137	161	158	95	118	118	479	1346	1110	2136	1710	1424	1941	1796	1535	2043	1990	1811	2011	1815	1733	2343	1800	1528	32.4	70.3	35.5	10.9	12.4	12	26.8	24.7	27.2	25101	32537	33368	5.5	14.3	5.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01007	19934	22872	22555	9837	12264	12055	10097	10608	10500	15798	17525	17279	4012	5041	4865	54	68	95	18	22	51	207	410	586	1362	1505	1288	1276	1497	1388	1399	1594	1733	1497	1650	1613	1465	1734	1515	35.7	72.2	43.9	7.1	11.1	13.2	20.6	11.9	15.2	31420	41236	43404	5.3	13.3	4.4	0.0	10	0.0	0.0	Unreliable	0.0	0.0	7.286930162061327	0.0
01009	51209	57373	57827	25579	28385	28492	25630	28988	29335	49865	55410	55485	630	814	943	276	350	362	76	130	173	2750	4663	5441	3374	3991	3675	3072	3142	3240	3461	3423	3564	3697	3457	3375	3953	3844	3474	36	72.9	32.3	9.6	12.3	13.1	11.7	11.0	15.6	35241	45406	47412	3.5	10	4	1.0	20	56	1.0	6.2	17.9	0.32546362293086495	5.8099338248537356	16.140096033571403
01011	11615	10878	10176	6089	5882	5522	5526	4996	4654	3012	2868	2662	8514	7733	7206	43	85	86	21	18	20	321	777	791	876	711	534	881	716	636	851	816	742	739	734	784	892	706	661	35.2	69.9	36.6	7.7	9.0	13.4	33.5	32.3	28.5	20605	26209	29655	8.5	15.6	4.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01013	21331	20942	19898	9994	9844	9292	11337	11098	10606	12501	11419	10429	8729	9125	8924	41	62	72	38	184	254	141	197	283	1781	1394	1234	1192	1182	1105	1140	1271	1233	1185	1247	1155	1462	1168	1250	34.5	76.6	40.4	10.4	12.3	16.1	24.6	22.0	24.4	24791	31938	36326	7.8	16.4	5.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01015	111340	118477	114664	53266	57132	55129	58074	61345	59535	88465	90569	86438	20775	24471	24179	448	595	604	665	896	1120	1742	3902	4278	8068	8415	7658	8135	9058	7319	6951	7604	8210	7267	7203	6911	8009	7188	7071	32.2	78.4	32.2	15.2	17.5	17.9	16.1	17.5	18.6	31768	38382	43686	5.1	11.1	5	2.0	10	2.0	2.0	Unreliable	2.0	0.2993832704628465	1.4067427995869803	0.2907044349868601
01017	36580	34122	33758	17293	16316	16174	19287	17806	17584	22352	20231	19319	13997	13276	13450	42	73	96	69	199	444	276	539	831	2460	2279	1883	2211	1937	2067	2363	1888	2339	2375	1891	1888	2498	2134	1858	32.1	72.0	38.4	9.5	10.3	13.3	17.0	16.0	18.8	29667	32433	37342	4.4	19.6	4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01019	24054	25974	25815	11825	12886	12823	12229	13088	12992	22456	24227	24057	1345	1201	1075	75	134	162	33	58	83	204	326	401	1408	1648	1583	1301	1288	1289	1529	1204	1510	1596	1337	1161	1678	1627	1312	34.9	70.0	38.2	9.7	10.0	12.5	15.6	14.6	16.1	30874	40240	40041	4.5	11.7	4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01021	39801	43653	44117	19699	21602	21699	20102	22051	22418	35170	38451	38403	4243	4342	4615	106	209	236	83	149	215	1158	3429	3458	2706	2964	2796	2620	2586	2659	2742	2712	2872	2746	2973	2588	2980	3002	2751	35.8	74.6	43.4	9.9	11.3	15.1	15.7	17.2	19.4	32588	38966	43501	4.3	10.6	4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01023	15868	13849	12935	7464	6674	6129	8404	7175	6806	8787	7765	7395	7029	5991	5411	24	18	24	4	14	19	108	75	125	1146	903	768	863	683	718	950	668	675	937	720	590	1111	833	694	34.7	71.4	39.9	9.6	10.8	11.6	24.5	22.8	22.3	24749	30749	32122	6.5	13.5	6.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01025	27839	25765	24097	13171	12174	11370	14668	13591	12727	15645	14058	12954	12032	11365	10708	63	102	121	49	81	99	180	274	327	2141	1989	1590	1567	1288	1472	1728	1340	1442	1797	1506	1162	2038	1579	1463	37.7	76.9	44.3	12.1	13.5	13	22.6	26.1	25.3	27388	27080	33827	7.3	16.5	8.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01027	14262	13897	13367	6956	6806	6552	7306	7091	6815	11877	11543	11143	2248	2053	1871	41	56	77	14	26	32	256	397	413	971	894	845	798	762	788	888	724	738	914	761	712	1045	887	750	37.8	70.8	33.7	7.8	9.0	10.3	17.1	17.7	19.1	27885	37652	37287	6.1	16.7	4.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01029	14171	15004	14906	7062	7465	7389	7109	7539	7517	13520	14265	14149	527	506	462	43	52	70	21	23	30	197	312	356	964	1049	908	788	782	785	910	868	904	1007	763	802	1111	1008	812	35.8	69.6	37.4	9.2	10.2	12.4	13.9	16.4	19.1	30820	33742	37396	4.1	10.2	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
01031	43546	50205	51777	21261	24804	25483	22285	25401	26294	33997	38888	39371	8061	8524	9187	400	727	721	432	662	794	1171	3209	3702	3097	3351	3339	2743	3088	3058	2856	3668	3389	2757	3294	3232	3211	3285	3286	26.2	79.0	29.3	19.3	21.5	22.7	14.7	16.1	16.1	33664	41973	49821	5.8	8.5	4.4	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.33197224712014073	0.32189324732345764
