,County,County Code,Year,Year Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
0,Autauga County, AL,01001,1999,1999,,42963,,,,,,
1,Autauga County, AL,01001,2000,2000,,43671,,,,,,
2,Autauga County, AL,01001,2001,2001,,44889,,,,,,
3,Autauga County, AL,01001,2002,2002,,45909,,,,,,
4,Autauga County, AL,01001,2003,2003,,46800,,,,,,
5,Autauga County, AL,01001,2004,2004,,48366,,,,,,
6,Autauga County, AL,01001,2005,2005,,49676,,,,,,
7,Autauga County, AL,01001,2006,2006,,51328,,,,,,
8,Autauga County, AL,01001,2007,2007,,52405,,,,,,
9,Autauga County, AL,01001,2008,2008,,53277,,,,,,
10,Autauga County, AL,01001,2009,2009,,54135,,,,,,
11,Autauga County, AL,01001,2010,2010,,54571,,,,,,
12,Autauga County, AL,01001,2011,2011,,55255,,,,,,
13,Autauga County, AL,01001,2012,2012,,55027,,,,,,
14,Autauga County, AL,01001,2013,2013,,54792,,,,,,
15,Autauga County, AL,01001,2014,2014,,54977,,,,,,
16,Autauga County, AL,01001,2015,2015,,55035,,,,,,
17,Autauga County, AL,01001,2016,2016,,55416,,,,,,
18,Baldwin County, AL,01003,1999,1999,11,137555,8.0 (Unreliable),4.0,14.3,8.3 (Unreliable),4.1,14.8
19,Baldwin County, AL,01003,2000,2000,12,140415,8.5 (Unreliable),4.4,14.9,9.0 (Unreliable),4.6,15.7
20,Baldwin County, AL,01003,2001,2001,12,144875,8.3 (Unreliable),4.3,14.5,8.5 (Unreliable),4.4,14.8
21,Baldwin County, AL,01003,2002,2002,16,147957,10.8 (Unreliable),6.2,17.6,11.5 (Unreliable),6.6,18.7
22,Baldwin County, AL,01003,2003,2003,12,151509,7.9 (Unreliable),4.1,13.8,7.9 (Unreliable),4.1,13.8
23,Baldwin County, AL,01003,2004,2004,20,156266,12.8,7.8,19.8,13.6,8.3,21.0
24,Baldwin County, AL,01003,2005,2005,22,162183,13.6,8.5,20.5,15.1,9.5,22.9
25,Baldwin County, AL,01003,2006,2006,21,168121,12.5,7.7,19.1,13.3,8.1,20.6
26,Baldwin County, AL,01003,2007,2007,28,172404,16.2,10.8,23.5,16.8,11.1,24.5
27,Baldwin County, AL,01003,2008,2008,27,175827,15.4,10.1,22.3,15.6,10.2,22.8
28,Baldwin County, AL,01003,2009,2009,32,179406,17.8,12.2,25.2,18.6,12.6,26.6
29,Baldwin County, AL,01003,2010,2010,26,182265,14.3,9.3,20.9,15.0,9.7,22.1
30,Baldwin County, AL,01003,2011,2011,24,186653,12.9,8.2,19.1,13.3,8.4,20.0
31,Baldwin County, AL,01003,2012,2012,34,190403,17.9,12.4,25.0,16.8,11.5,23.7
32,Baldwin County, AL,01003,2013,2013,22,195147,11.3,7.1,17.1,12.7,7.9,19.4
33,Baldwin County, AL,01003,2014,2014,38,199745,19.0,13.5,26.1,20.1,14.2,27.7
34,Baldwin County, AL,01003,2015,2015,43,203690,21.1,15.3,28.4,20.9,15.0,28.5
35,Baldwin County, AL,01003,2016,2016,32,208563,15.3,10.5,21.7,14.8,9.9,21.2
36,Barbour County, AL,01005,1999,1999,,28866,,,,,,
37,Barbour County, AL,01005,2000,2000,,29038,,,,,,
38,Barbour County, AL,01005,2001,2001,,28863,,,,,,
39,Barbour County, AL,01005,2002,2002,,28653,,,,,,
40,Barbour County, AL,01005,2003,2003,,28594,,,,,,
41,Barbour County, AL,01005,2004,2004,,28287,,,,,,
42,Barbour County, AL,01005,2005,2005,,28027,,,,,,
43,Barbour County, AL,01005,2006,2006,,27861,,,,,,
44,Barbour County, AL,01005,2007,2007,,27757,,,,,,
45,Barbour County, AL,01005,2008,2008,,27808,,,,,,
46,Barbour County, AL,01005,2009,2009,,27657,,,,,,
47,Barbour County, AL,01005,2010,2010,,27457,,,,,,
48,Barbour County, AL,01005,2011,2011,,27326,,,,,,
49,Barbour County, AL,01005,2012,2012,,27132,,,,,,
50,Barbour County, AL,01005,2013,2013,,26938,,,,,,
51,Barbour County, AL,01005,2014,2014,,26763,,,,,,
52,Barbour County, AL,01005,2015,2015,,26270,,,,,,
53,Barbour County, AL,01005,2016,2016,,25965,,,,,,
54,Bibb County, AL,01007,1999,1999,,20560,,,,,,
55,Bibb County, AL,01007,2000,2000,,20826,,,,,,
56,Bibb County, AL,01007,2001,2001,,21028,,,,,,
57,Bibb County, AL,01007,2002,2002,,21199,,,,,,
58,Bibb County, AL,01007,2003,2003,,21399,,,,,,
59,Bibb County, AL,01007,2004,2004,,21721,,,,,,
60,Bibb County, AL,01007,2005,2005,,22042,,,,,,
61,Bibb County, AL,01007,2006,2006,,22099,,,,,,
62,Bibb County, AL,01007,2007,2007,,22438,,,,,,
63,Bibb County, AL,01007,2008,2008,,22705,,,,,,
64,Bibb County, AL,01007,2009,2009,,22941,,,,,,
65,Bibb County, AL,01007,2010,2010,,22915,,,,,,
66,Bibb County, AL,01007,2011,2011,,22736,,,,,,
67,Bibb County, AL,01007,2012,2012,,22645,,,,,,
68,Bibb County, AL,01007,2013,2013,,22501,,,,,,
69,Bibb County, AL,01007,2014,2014,,22511,,,,,,
70,Bibb County, AL,01007,2015,2015,,22561,,,,,,
71,Bibb County, AL,01007,2016,2016,,22643,,,,,,
72,Blount County, AL,01009,1999,1999,,50237,,,,,,
73,Blount County, AL,01009,2000,2000,,51024,,,,,,
74,Blount County, AL,01009,2001,2001,,51845,,,,,,
75,Blount County, AL,01009,2002,2002,,52551,,,,,,
76,Blount County, AL,01009,2003,2003,,53457,,,,,,
77,Blount County, AL,01009,2004,2004,,54124,,,,,,
78,Blount County, AL,01009,2005,2005,,54624,,,,,,
79,Blount County, AL,01009,2006,2006,,55485,,,,,,
80,Blount County, AL,01009,2007,2007,,56240,,,,,,
81,Blount County, AL,01009,2008,2008,17,57055,29.8 (Unreliable),17.4,47.7,29.6 (Unreliable),17.2,47.4
82,Blount County, AL,01009,2009,2009,11,57341,19.2 (Unreliable),9.6,34.3,20.3 (Unreliable),10.2,36.4
83,Blount County, AL,01009,2010,2010,10,57322,17.4 (Unreliable),8.4,32.1,17.8 (Unreliable),8.6,32.8
84,Blount County, AL,01009,2011,2011,,57707,,,,,,
85,Blount County, AL,01009,2012,2012,17,57772,29.4 (Unreliable),17.1,47.1,30.8 (Unreliable),17.6,50.0
86,Blount County, AL,01009,2013,2013,13,57746,22.5 (Unreliable),12.0,38.5,23.5 (Unreliable),12.5,40.2
87,Blount County, AL,01009,2014,2014,12,57621,20.8 (Unreliable),10.8,36.4,22.5 (Unreliable),11.6,39.3
88,Blount County, AL,01009,2015,2015,11,57676,19.1 (Unreliable),9.5,34.1,20.5 (Unreliable),10.3,36.7
89,Blount County, AL,01009,2016,2016,14,57704,24.3 (Unreliable),13.3,40.7,24.5 (Unreliable),13.0,41.9
90,Bullock County, AL,01011,1999,1999,,11755,,,,,,
91,Bullock County, AL,01011,2000,2000,,11714,,,,,,
92,Bullock County, AL,01011,2001,2001,,11358,,,,,,
93,Bullock County, AL,01011,2002,2002,,11256,,,,,,
94,Bullock County, AL,01011,2003,2003,,11316,,,,,,
95,Bullock County, AL,01011,2004,2004,,11056,,,,,,
96,Bullock County, AL,01011,2005,2005,,11011,,,,,,
97,Bullock County, AL,01011,2006,2006,,10776,,,,,,
98,Bullock County, AL,01011,2007,2007,,11011,,,,,,
99,Bullock County, AL,01011,2008,2008,,10953,,,,,,
100,Bullock County, AL,01011,2009,2009,,10987,,,,,,
101,Bullock County, AL,01011,2010,2010,,10914,,,,,,
102,Bullock County, AL,01011,2011,2011,,10722,,,,,,
103,Bullock County, AL,01011,2012,2012,,10654,,,,,,
104,Bullock County, AL,01011,2013,2013,,10576,,,,,,
105,Bullock County, AL,01011,2014,2014,,10712,,,,,,
106,Bullock County, AL,01011,2015,2015,,10455,,,,,,
107,Bullock County, AL,01011,2016,2016,,10362,,,,,,
108,Butler County, AL,01013,1999,1999,,21605,,,,,,
109,Butler County, AL,01013,2000,2000,,21399,,,,,,
110,Butler County, AL,01013,2001,2001,,21139,,,,,,
111,Butler County, AL,01013,2002,2002,,20803,,,,,,
112,Butler County, AL,01013,2003,2003,,20833,,,,,,
113,Butler County, AL,01013,2004,2004,,20870,,,,,,
114,Butler County, AL,01013,2005,2005,,20830,,,,,,
115,Butler County, AL,01013,2006,2006,,20815,,,,,,
116,Butler County, AL,01013,2007,2007,,20894,,,,,,
117,Butler County, AL,01013,2008,2008,,20949,,,,,,
118,Butler County, AL,01013,2009,2009,,20867,,,,,,
119,Butler County, AL,01013,2010,2010,,20947,,,,,,
120,Butler County, AL,01013,2011,2011,,20848,,,,,,
121,Butler County, AL,01013,2012,2012,,20665,,,,,,
122,Butler County, AL,01013,2013,2013,,20330,,,,,,
123,Butler County, AL,01013,2014,2014,,20283,,,,,,
124,Butler County, AL,01013,2015,2015,,20126,,,,,,
125,Butler County, AL,01013,2016,2016,,19998,,,,,,
126,Calhoun County, AL,01015,1999,1999,,114910,,,,,,
127,Calhoun County, AL,01015,2000,2000,,112249,,,,,,
128,Calhoun County, AL,01015,2001,2001,,111266,,,,,,
129,Calhoun County, AL,01015,2002,2002,,111625,,,,,,
130,Calhoun County, AL,01015,2003,2003,,112705,,,,,,
131,Calhoun County, AL,01015,2004,2004,,113462,,,,,,
132,Calhoun County, AL,01015,2005,2005,10,114477,8.7 (Unreliable),4.2,16.1,8.9 (Unreliable),4.3,16.3
133,Calhoun County, AL,01015,2006,2006,,115388,,,,,,
134,Calhoun County, AL,01015,2007,2007,13,116211,11.2 (Unreliable),6.0,19.1,11.6 (Unreliable),6.2,19.8
135,Calhoun County, AL,01015,2008,2008,21,117274,17.9,11.1,27.4,18.8,11.5,29.0
136,Calhoun County, AL,01015,2009,2009,15,118363,12.7 (Unreliable),7.1,20.9,13.6 (Unreliable),7.6,22.4
137,Calhoun County, AL,01015,2010,2010,21,118572,17.7,11.0,27.1,19.9,12.2,30.7
138,Calhoun County, AL,01015,2011,2011,14,117736,11.9 (Unreliable),6.5,20.0,12.9 (Unreliable),7.1,21.7
139,Calhoun County, AL,01015,2012,2012,,117208,,,,,,
140,Calhoun County, AL,01015,2013,2013,,116475,,,,,,
141,Calhoun County, AL,01015,2014,2014,19,115837,16.4 (Unreliable),9.9,25.6,16.4 (Unreliable),9.9,25.6
142,Calhoun County, AL,01015,2015,2015,20,115285,17.3,10.6,26.8,18.9,11.5,29.1
143,Calhoun County, AL,01015,2016,2016,15,114611,13.1 (Unreliable),7.3,21.6,13.3 (Unreliable),7.3,22.4
144,Chambers County, AL,01017,1999,1999,,36527,,,,,,
145,Chambers County, AL,01017,2000,2000,,36583,,,,,,
146,Chambers County, AL,01017,2001,2001,,36274,,,,,,
147,Chambers County, AL,01017,2002,2002,,35965,,,,,,
148,Chambers County, AL,01017,2003,2003,,35680,,,,,,
149,Chambers County, AL,01017,2004,2004,,35463,,,,,,
150,Chambers County, AL,01017,2005,2005,,35279,,,,,,
151,Chambers County, AL,01017,2006,2006,,34945,,,,,,
152,Chambers County, AL,01017,2007,2007,,34847,,,,,,
153,Chambers County, AL,01017,2008,2008,,34563,,,,,,
154,Chambers County, AL,01017,2009,2009,,34384,,,,,,
155,Chambers County, AL,01017,2010,2010,,34215,,,,,,
156,Chambers County, AL,01017,2011,2011,,34006,,,,,,
157,Chambers County, AL,01017,2012,2012,,34084,,,,,,
158,Chambers County, AL,01017,2013,2013,,34123,,,,,,
159,Chambers County, AL,01017,2014,2014,,33996,,,,,,
160,Chambers County, AL,01017,2015,2015,,34043,,,,,,
161,Chambers County, AL,01017,2016,2016,,33843,,,,,,
162,Cherokee County, AL,01019,1999,1999,,23605,,,,,,
163,Cherokee County, AL,01019,2000,2000,,23988,,,,,,
164,Cherokee County, AL,01019,2001,2001,,24182,,,,,,
165,Cherokee County, AL,01019,2002,2002,,24403,,,,,,
166,Cherokee County, AL,01019,2003,2003,,24591,,,,,,
167,Cherokee County, AL,01019,2004,2004,,24887,,,,,,
168,Cherokee County, AL,01019,2005,2005,,25031,,,,,,
169,Cherokee County, AL,01019,2006,2006,,25466,,,,,,
170,Cherokee County, AL,01019,2007,2007,,25553,,,,,,
171,Cherokee County, AL,01019,2008,2008,,25636,,,,,,
172,Cherokee County, AL,01019,2009,2009,,25854,,,,,,
173,Cherokee County, AL,01019,2010,2010,,25989,,,,,,
174,Cherokee County, AL,01019,2011,2011,,26073,,,,,,
175,Cherokee County, AL,01019,2012,2012,,26017,,,,,,
176,Cherokee County, AL,01019,2013,2013,,26074,,,,,,
177,Cherokee County, AL,01019,2014,2014,,25944,,,,,,
178,Cherokee County, AL,01019,2015,2015,,25726,,,,,,
179,Cherokee County, AL,01019,2016,2016,,25725,,,,,,
180,Chilton County, AL,01021,1999,1999,,38862,,,,,,
181,Chilton County, AL,01021,2000,2000,,39593,,,,,,
182,Chilton County, AL,01021,2001,2001,,40197,,,,,,
183,Chilton County, AL,01021,2002,2002,,40683,,,,,,
184,Chilton County, AL,01021,2003,2003,,41079,,,,,,
185,Chilton County, AL,01021,2004,2004,,41534,,,,,,
186,Chilton County, AL,01021,2005,2005,,41946,,,,,,
187,Chilton County, AL,01021,2006,2006,13,42318,30.7 (Unreliable),16.4,52.5,31.1 (Unreliable),16.6,53.2
188,Chilton County, AL,01021,2007,2007,,42881,,,,,,
189,Chilton County, AL,01021,2008,2008,,43239,,,,,,
190,Chilton County, AL,01021,2009,2009,,43484,,,,,,
191,Chilton County, AL,01021,2010,2010,11,43643,25.2 (Unreliable),12.6,45.1,25.5 (Unreliable),12.7,45.6
192,Chilton County, AL,01021,2011,2011,,43758,,,,,,
193,Chilton County, AL,01021,2012,2012,,43693,,,,,,
194,Chilton County, AL,01021,2013,2013,,43769,,,,,,
195,Chilton County, AL,01021,2014,2014,,43874,,,,,,
196,Chilton County, AL,01021,2015,2015,,43809,,,,,,
197,Chilton County, AL,01021,2016,2016,,43941,,,,,,
198,Choctaw County, AL,01023,1999,1999,,15931,,,,,,
199,Choctaw County, AL,01023,2000,2000,,15922,,,,,,
200,Choctaw County, AL,01023,2001,2001,,15677,,,,,,
201,Choctaw County, AL,01023,2002,2002,,15367,,,,,,
202,Choctaw County, AL,01023,2003,2003,,15199,,,,,,
203,Choctaw County, AL,01023,2004,2004,,14930,,,,,,
204,Choctaw County, AL,01023,2005,2005,,14545,,,,,,
205,Choctaw County, AL,01023,2006,2006,,14431,,,,,,
206,Choctaw County, AL,01023,2007,2007,,14216,,,,,,
207,Choctaw County, AL,01023,2008,2008,,14114,,,,,,
208,Choctaw County, AL,01023,2009,2009,,13976,,,,,,
209,Choctaw County, AL,01023,2010,2010,,13859,,,,,,
210,Choctaw County, AL,01023,2011,2011,,13610,,,,,,
211,Choctaw County, AL,01023,2012,2012,,13549,,,,,,
