fips,2000_population,2010_population,2017_population,2000_pct_male,2010_pct_male,2017_pct_male,2000_pct_white,2010_pct_white,2017_pct_white,2000_pct_25_39,2010_pct_25_39,2017_pct_25_39,2000_pct_hs_diploma,2010_pct_hs_diploma,2017_pct_hs_diploma,2000_median_hh_inc,2010_median_hh_inc,2017_median_hh_inc,2000_pov_pct,2010_pov_pct,2017_pov_pct,2000_unemploy_rate,2010_unemploy_rate,2017_unemploy_rate,2000_deaths,2010_deaths,2017_deaths,2000_mean_deaths,2010_mean_deaths,2017_mean_deaths,2000_death_rate,2010_death_rate,2017_death_rate,2000_log_death_rate,2010_log_death_rate,2017_log_death_rate,2000_deaths_age_adj,2010_deaths_age_adj,2017_deaths_age_adj,predicted_deaths_age_adj
1001,43900,54754,55443,0.48594533,0.487087701,0.487293256,0.810569476,0.792800526,0.767779521,0.221594533,0.195291668,0.193514059,0.338,0.85,0.336,42013,51463,55317,0.109,0.103,0.137,0.04,0.097,0.039,5,5,5,0.833333333,0.833333333,0.833333333,1.898253607,1.521958822,1.50304517,0.640934309,0.419998204,0.407493163,5,5,5,9.379665435
1003,141404,183111,212619,0.490346808,0.489418986,0.48529059,0.87786767,0.876353687,0.872156298,0.196493734,0.177963093,0.173662749,0.296,0.875,0.278,40250,48918,52562,0.101,0.119,0.118,0.037,0.098,0.041,44,71,93,7.333333333,11.83333333,15.5,5.186086202,6.462382562,7.290035227,1.645979309,1.865998067,1.986508378,5.2,7.2,7.8,13.9216646
1005,29043,27330,25158,0.515614778,0.530698866,0.525518722,0.523775092,0.50845225,0.494912155,0.220259615,0.205085986,0.201605851,0.324,0.703,0.355,25101,32537,33368,0.268,0.247,0.272,0.055,0.143,0.058,5,5,5,0.833333333,0.833333333,0.833333333,2.869308726,3.049152336,3.312398972,1.054071139,1.114863629,1.197672692,5,5,5,7.527602746
1007,19934,#N/A,22555,0.493478479,#N/A,0.534471292,0.7925153,#N/A,0.766082908,0.218771947,#N/A,0.215517624,0.357,#N/A,0.439,31420,#N/A,43404,0.206,#N/A,0.152,0.053,#N/A,0.044,5,#N/A,5,0.833333333,#N/A,0.833333333,4.180462192,#N/A,3.694672283,1.430421813,#N/A,1.306891858,5,#N/A,5,9.086721884
1009,51209,57373,57827,0.499502041,0.494744915,0.492711017,0.973754613,0.9657853,0.959499888,0.216973579,0.186917191,0.180071593,0.36,0.729,0.323,35241,45406,47412,0.117,0.11,0.156,0.035,0.1,0.04,5,20,56,0.833333333,3.333333333,9.333333333,1.627318115,5.809933825,16.14009603,0.486933331,1.759569181,2.781306613,5,6.2,17.9,13.55030491
1011,11615,10878,10176,0.524235902,0.540724398,0.542649371,0.259319845,0.263651407,0.261595912,0.213689195,0.207391065,0.214917453,0.352,0.699,0.366,20605,26209,29655,0.335,0.323,0.285,0.085,0.156,0.049,5,5,5,0.833333333,0.833333333,0.833333333,7.174630507,7.660721946,8.189203354,1.970551263,2.036106228,2.102816623,5,5,5,5.573338525
1013,21331,20942,19898,0.468519994,0.470060166,0.466981606,0.586048474,0.545267883,0.524123027,0.177535043,0.176009932,0.182832445,0.345,0.766,0.404,24791,31938,36326,0.246,0.22,0.244,0.078,0.164,0.055,5,5,5,0.833333333,0.833333333,0.833333333,3.906677293,3.979244262,4.188025597,1.362687215,1.381091917,1.432229405,5,5,5,7.398891819
1015,111340,#N/A,114664,0.478408479,#N/A,0.480787344,0.794548231,#N/A,0.753837299,0.199631759,#N/A,0.193539385,0.322,#N/A,0.322,31768,#N/A,43686,0.161,#N/A,0.186,0.051,#N/A,0.05,5,#N/A,5,0.833333333,#N/A,0.833333333,0.748458176,#N/A,0.726761087,-0.289739954,#N/A,-0.319157483,5,#N/A,5,12.62391279
1017,36580,34122,33758,0.472744669,0.478166579,0.479116061,0.611044286,0.59290194,0.572279163,0.197813013,0.17328996,0.18025357,0.321,0.72,0.384,29667,32433,37342,0.17,0.16,0.188,0.044,0.196,0.041,5,5,5,0.833333333,0.833333333,0.833333333,2.278111901,2.442217142,2.468550665,0.823346986,0.892906292,0.903631203,5,5,5,8.872427713
1019,24054,25974,25815,0.491602228,0.496111496,0.496726709,0.933566143,0.932740433,0.931900058,0.19967573,0.16046816,0.154290141,0.349,0.7,0.382,30874,40240,40041,0.156,0.146,0.161,0.045,0.117,0.041,5,5,5,0.833333333,0.833333333,0.833333333,3.464427261,3.208336542,3.228097359,1.242547326,1.165752592,1.171892911,5,5,5,10.91858388
1021,39801,43653,44117,0.494937313,0.494857169,0.491851214,0.88364614,0.880832932,0.870480767,0.212758473,0.199001214,0.18611873,0.358,0.746,0.434,32588,38966,43501,0.157,0.172,0.194,0.043,0.106,0.041,5,5,5,0.833333333,0.833333333,0.833333333,2.093749738,1.908994418,1.888916593,0.738956592,0.646576621,0.636003433,5,5,5,11.54822896
1023,15868,13849,12935,0.47038064,0.481912051,0.473830692,0.553755987,0.560690303,0.571704677,0.188933703,0.16037259,0.151449555,0.347,0.714,0.399,24749,30749,32122,0.245,0.228,0.223,0.065,0.135,0.063,5,5,5,0.833333333,0.833333333,0.833333333,5.251659524,6.017281633,6.442468754,1.658544127,1.794635601,1.862911814,5,5,5,5.586773016
1025,27839,25765,24097,0.473113258,0.472501455,0.471842968,0.561981393,0.545623908,0.537577292,0.19982758,0.171744615,0.168776196,0.377,0.769,0.443,27388,27080,33827,0.226,0.261,0.253,0.073,0.165,0.085,5,5,5,0.833333333,0.833333333,0.833333333,2.993402541,3.23436186,3.458245148,1.096410714,1.173831647,1.240761278,5,5,5,7.89503139
1027,14262,13897,13367,0.487729631,0.489745988,0.49016234,0.832772402,0.830610923,0.833620109,0.199621371,0.17068432,0.164584424,0.378,0.708,0.337,27885,37652,37287,0.171,0.177,0.191,0.061,0.167,0.043,5,5,5,0.833333333,0.833333333,0.833333333,5.843032768,5.996498045,6.234258497,1.765249972,1.79117564,1.830059646,5,5,5,5.592564683
1029,14171,15004,14906,0.498341684,0.497533991,0.495706427,0.954061111,0.950746468,0.949215081,0.213675817,0.17588643,0.168925265,0.358,0.696,0.374,30820,33742,37396,0.139,0.164,0.191,0.041,0.102,0.045,5,5,5,0.833333333,0.833333333,0.833333333,5.880554183,5.554074469,5.590589919,1.771651006,1.714531797,1.721084813,5,5,5,7.458206814
1031,43546,50205,51777,0.488242318,0.494054377,0.492168337,0.780714647,0.774584205,0.760395542,0.202636293,0.204103177,0.191339784,0.262,0.79,0.293,33664,41973,49821,0.147,0.161,0.161,0.058,0.085,0.044,5,5,5,0.833333333,0.833333333,0.833333333,1.913685145,1.659861236,1.609466237,0.649030779,0.506734006,0.475902594,5,5,5,11.41708208
1033,55023,54525,54509,0.47856351,0.480770289,0.479975784,0.819729931,0.812691426,0.805976995,0.19953474,0.172526364,0.182905575,0.339,0.798,0.337,31954,39366,45477,0.14,0.14,0.168,0.055,0.116,0.052,5,5,5,0.833333333,0.833333333,0.833333333,1.514518171,1.528350909,1.528799525,0.41509735,0.424189317,0.424482804,5,5,5,11.10950913
1035,14052,13234,12435,0.473171079,0.483905093,0.479131484,0.557714204,0.517001662,0.510414154,0.186307999,0.155432976,0.159630076,0.381,0.733,0.48,22111,27216,30434,0.266,0.29,0.264,0.065,0.199,0.061,5,5,5,0.833333333,0.833333333,0.833333333,5.930353924,6.296911994,6.701514542,1.780083895,1.840059354,1.902333552,5,5,5,5.783593308
1037,11881,11782,10757,0.497432876,0.505432015,0.501069071,0.658614595,0.665082329,0.668123083,0.204528238,0.168901714,0.150134796,0.383,0.719,0.385,29873,33595,34792,0.149,0.201,0.144,0.054,0.16,0.047,5,5,5,0.833333333,0.833333333,0.833333333,7.013999944,7.072936117,7.746893496,1.947908144,1.956275686,2.047291924,5,5,5,5.33141691
1039,37520,37812,37078,0.478065032,0.484449381,0.48257727,0.864605544,0.851079023,0.847106101,0.184754797,0.168703057,0.173229408,0.33,0.756,0.356,26336,33278,39467,0.184,0.181,0.176,0.069,0.108,0.052,5,5,5,0.833333333,0.833333333,0.833333333,2.221037669,2.203885892,2.247514249,0.797974505,0.790222117,0.809824827,5,5,5,11.42919577
1041,13694,13874,13861,0.473126917,0.482557301,0.484092057,0.742076822,0.733314113,0.728663156,0.190229298,0.174210754,0.171849073,0.29,0.724,0.378,26054,31058,38937,0.221,0.219,0.176,0.057,0.104,0.045,5,5,5,0.833333333,0.833333333,0.833333333,6.085390195,6.006438903,6.012072241,1.805890848,1.792832044,1.793769488,5,5,5,5.78087607
1043,77571,#N/A,82836,0.49339315,#N/A,0.493939833,0.975944618,#N/A,0.960005312,0.207242397,#N/A,0.187056352,0.32,#N/A,0.359,32256,#N/A,40997,0.13,#N/A,0.164,0.041,#N/A,0.038,5,#N/A,28,0.833333333,#N/A,4.666666667,1.074284634,#N/A,5.633621453,0.071654983,#N/A,1.728752477,5,#N/A,6.3,13.2188145
1045,49116,50390,49254,0.495642968,0.493907521,0.492873675,0.756209789,0.758503671,0.73929021,0.224814724,0.206092479,0.207191294,0.292,0.833,0.326,31998,42225,44711,0.151,0.142,0.196,0.052,0.096,0.045,5,5,5,0.833333333,0.833333333,0.833333333,1.696663681,1.653767282,1.691909963,0.528663782,0.503055887,0.525858047,5,5,5,9.30898127
1047,46222,43860,39235,0.455107957,0.462334701,0.461730598,0.358617109,0.291564067,0.278399388,0.185755701,0.170930233,0.176041799,0.336,0.753,0.366,23370,26442,30065,0.311,0.32,0.319,0.08,0.211,0.075,5,5,5,0.833333333,0.833333333,0.833333333,1.802893283,1.8999848,2.123953953,0.589392754,0.641845886,0.753279424,5,5,5,10.45484362
1049,64657,#N/A,71404,0.48890298,#N/A,0.496638844,0.959524877,#N/A,0.92816929,0.214439272,#N/A,0.180326032,0.34,#N/A,0.34,30137,#N/A,38842,0.154,#N/A,0.215,0.04,#N/A,0.045,5,#N/A,24,0.833333333,#N/A,4,1.288852457,#N/A,5.601927063,0.253752255,#N/A,1.723110657,5,#N/A,5.8,16.64644118
1051,66255,79577,81416,0.50605992,0.488470287,0.484290557,0.775186778,0.772258316,0.757922276,0.237083994,0.20587607,0.206974059,0.338,0.831,0.341,41243,52971,54981,0.102,0.131,0.135,0.04,0.095,0.037,5,5,5,0.833333333,0.833333333,0.833333333,1.257766709,1.047203757,1.023549835,0.229337695,0.046123523,0.023276815,5,5,5,10.83893302
1053,38412,38344,36999,0.507029053,0.515934696,0.507229925,0.649432469,0.628833716,0.622908727,0.20834635,0.201257042,0.197086408,0.347,0.74,0.438,28319,32321,35026,0.209,0.228,0.238,0.052,0.135,0.05,5,26,33,0.833333333,4.333333333,5.5,2.169460932,11.30120314,14.86526663,0.774478718,2.424909193,2.699027393,5,11.6,13.2,10.01184687
1055,103300,#N/A,102937,0.478480155,#N/A,0.483800771,0.836727977,#N/A,0.808698524,0.197899322,#N/A,0.179527284,0.323,#N/A,0.325,31170,#N/A,42064,0.157,#N/A,0.179,0.058,#N/A,0.046,5,#N/A,38,0.833333333,#N/A,6.333333333,0.806711843,#N/A,6.152630573,-0.214788747,#N/A,1.816879726,5,#N/A,6.4,12.31086812
1057,18469,17227,16474,0.48302561,0.49323736,0.489741411,0.873571931,0.870145702,0.860203958,0.193134441,0.162129216,0.16595848,0.35,0.749,0.379,28539,35754,36541,0.173,0.161,0.181,0.058,0.14,0.047,5,5,5,0.833333333,0.833333333,0.833333333,4.512065263,4.837367698,5.058475982,1.506754978,1.576370709,1.621065249,5,5,5,6.499298665
1059,31222,31745,31590,0.491544424,0.499228225,0.502564103,0.94318109,0.927327138,0.917062362,0.209371597,0.192943771,0.185944919,0.305,0.685,0.375,27177,33380,39501,0.189,0.184,0.23,0.065,0.134,0.043,5,5,5,0.833333333,0.833333333,0.833333333,2.669058143,2.625085315,2.637965601,0.981725655,0.965113397,0.970008014,5,5,5,11.13798055
1061,25798,26782,26410,0.486239243,0.488910462,0.487959106,0.878750291,0.877977746,0.874100719,0.195015117,0.167015159,0.169784173,0.32,0.724,0.357,26448,31055,39293,0.196,0.161,0.225,0.051,0.108,0.043,5,5,5,0.833333333,0.833333333,0.833333333,3.230224565,3.111542578,3.15537044,1.17255166,1.135118609,1.149105903,5,5,5,13.33093585
1063,9962,8995,8318,0.469082514,0.471484158,0.473671556,0.19182895,0.177654252,0.185982207,0.173057619,0.148971651,0.167949026,0.349,0.686,0.37,19819,22352,20954,0.343,0.312,0.388,0.068,0.153,0.076,5,5,5,0.833333333,0.833333333,0.833333333,8.365120792,9.264406152,10.01843392,2.124070775,2.226179762,2.304426788,5,5,5,6.45820029
1065,18312,15745,14809,0.503549585,0.474245792,0.47518401,0.398099607,0.401333757,0.406847188,0.213903451,0.165957447,0.171382268,0.359,0.687,0.427,25807,29841,34679,0.269,0.257,0.261,0.06,0.143,0.06,5,5,5,0.833333333,0.833333333,0.833333333,4.550749964,5.292685509,5.627208679,1.515292047,1.666325775,1.727613525,5,5,5,5.26604697
1067,16343,17298,17140,0.476105978,0.480113308,0.484130688,0.669399743,0.696901376,0.711085181,0.185094536,0.171291479,0.164819137,0.291,0.748,0.339,30353,35792,45569,0.191,0.156,0.137,0.049,0.112,0.049,5,5,5,0.833333333,0.833333333,0.833333333,5.099023027,4.817512622,4.861921431,1.629048958,1.572257741,1.581433716,5,5,5,6.88568608
1069,88929,#N/A,#N/A,0.474996908,#N/A,#N/A,0.734720957,#N/A,#N/A,0.208357229,#N/A,#N/A,0.304,#N/A,#N/A,34431,#N/A,#N/A,0.15,#N/A,#N/A,0.044,#N/A,#N/A,5,#N/A,#N/A,0.833333333,#N/A,#N/A,0.937077144,#N/A,#N/A,-0.064989669,#N/A,#N/A,5,#N/A,#N/A,5.680039294
1071,54022,53183,51907,0.487708711,0.490965158,0.491243956,0.92382733,0.919805201,0.915175217,0.209340639,0.177218284,0.171306375,0.349,0.731,0.407,32020,35073,39281,0.137,0.177,0.19,0.052,0.128,0.048,5,5,5,0.833333333,0.833333333,0.833333333,1.542581417,1.566916747,1.605435362,0.433457258,0.449109833,0.473394973,5,5,5,15.91551783
1073,662019,658158,659546,0.471498552,0.47346078,0.472723661,0.585708265,0.548536977,0.532716444,0.215598042,0.205900407,0.211060335,0.279,0.861,0.268,36868,44718,49321,0.148,0.152,0.176,0.04,0.108,0.043,127,265,720,21.16666667,44.16666667,120,3.197289907,6.710648,18.19433368,1.162303547,1.903695519,2.901110209,3.2,6.8,18.7,11.47890882
1075,15911,14494,13902,0.482999183,0.487236098,0.488778593,0.875494941,0.872567959,0.872392462,0.201998617,0.161998068,0.16026471,0.375,0.748,0.376,28059,31094,36016,0.161,0.171,0.231,0.069,0.16,0.042,5,5,5,0.833333333,0.833333333,0.833333333,5.237466742,5.749505543,5.994341342,1.655837935,1.749113859,1.790815915,5,5,5,6.710844598
1077,87976,92736,#N/A,0.478460035,0.478929434,#N/A,0.889060653,0.874029503,#N/A,0.20214604,0.169297792,#N/A,0.341,0.81,#N/A,33354,37691,#N/A,0.144,0.18,#N/A,0.05,0.107,#N/A,5,5,#N/A,0.833333333,0.833333333,#N/A,0.947228032,0.898608236,#N/A,-0.054215421,-0.106908118,#N/A,5,5,#N/A,8.67541853
1079,34861,34344,33077,0.490433436,0.489110179,0.487408169,0.781675798,0.783572094,0.784442362,0.225180001,0.174673888,0.175922847,0.394,0.75,0.408,31549,41472,43779,0.153,0.124,0.166,0.05,0.136,0.05,5,5,5,0.833333333,0.833333333,0.833333333,2.390445866,2.426430623,2.519373986,0.871479903,0.886421298,0.924010452,5,5,5,11.98509074
1081,115458,#N/A,#N/A,0.492127007,#N/A,#N/A,0.744824958,#N/A,#N/A,0.213272359,#N/A,#N/A,0.267,#N/A,#N/A,30952,#N/A,#N/A,0.218,#N/A,#N/A,0.04,#N/A,#N/A,5,#N/A,#N/A,0.833333333,#N/A,#N/A,0.721763181,#N/A,#N/A,-0.326058198,#N/A,#N/A,5,#N/A,#N/A,5.977178545
